ID,大分類,中分類,打ち手,概要・補足,フェーズ,インパクト,実行容易性,優先度
14,1. 商品,1-2. 別形態の抹茶商品,抹茶カプセル（Nespresso / Keurig互換）,Cuzen Matchaの方向性。ハードウェア不要のカプセルなら低リスク,Phase 3,,,
15,1. 商品,1-2. 別形態の抹茶商品,抹茶プロテイン,ホエイ or ソイ × 抹茶。フィットネス層への拡張,Phase 3,,,
16,1. 商品,1-2. 別形態の抹茶商品,抹茶コラーゲン,美容×抹茶。Golde等が先行。ウェルネスD2C文脈,Phase 3,,,
17,1. 商品,1-2. 別形態の抹茶商品,抹茶サプリメント（カプセル / タブレット）,EGCG・L-テアニン訴求。「飲み物」から「健康食品」への拡張,Phase 3,,,
18,1. 商品,1-2. 別形態の抹茶商品,水出し抹茶ティーバッグ,夏向け。茶筅不要で最も手軽。パウダーとは別の体験,Phase 2,,,
19,1. 商品,1-2. 別形態の抹茶商品,抹茶シロップ（濃縮液）,カフェ・バー向け。B2B展開の入口にもなる,Phase 2,,,
20,1. 商品,1-2. 別形態の抹茶商品,抹茶エスプレッソショット（濃縮パック）,1杯分の濃縮抹茶。水 or ミルクで割るだけ。RTDより手軽でパウダーより簡単,Phase 2,,,
21,1. 商品,1-3. 抹茶を使った食品,抹茶チョコレート,タブレット / ボンボン。ギフト適性が高い,Phase 2,,,
22,1. 商品,1-3. 抹茶を使った食品,抹茶クッキー / ビスケット,ペアリングセットへの同梱 or 単品販売,Phase 2,,,
23,1. 商品,1-3. 抹茶を使った食品,抹茶グラノーラ / オートミール,朝の抹茶 × 朝食のクロスセル。ライフスタイル提案,Phase 3,,,
24,1. 商品,1-3. 抹茶を使った食品,抹茶アイスクリーム,冷凍配送 or 店舗販売。物流が課題,Phase 3,,,
25,1. 商品,1-3. 抹茶を使った食品,抹茶ソルト,抹茶＋フレーク塩。ポップコーン・アボカドトーストに。SNSコンテンツにもなる,Phase 2,,,
26,1. 商品,1-3. 抹茶を使った食品,抹茶バター / 抹茶スプレッド,パンに塗る抹茶。朝食シーンの拡張,Phase 3,,,
27,1. 商品,1-3. 抹茶を使った食品,抹茶×和菓子ペアリングセット,ネオどら焼き・大福等。D2Cでは市場の空白ポジション,Phase 2,,,
28,1. 商品,1-3. 抹茶を使った食品,抹茶カクテルキット,シロップ＋レシピ同梱。夜のシーン開拓,Phase 3,,,
29,1. 商品,1-3. 抹茶を使った食品,抹茶エナジーバー / プロテインバー,フィットネス×抹茶。携帯性あり,Phase 3,,,
30,1. 商品,1-4. 茶器・道具,ブランド茶碗（オリジナルデザイン）,「マグカップ→茶碗」導線の収益化。ブランドの世界観統一,Phase 2,,,
31,1. 商品,1-4. 茶器・道具,作家もの茶碗のキュレーション販売,コミッション15-30%。「名物狩り」のコンセプト体現,Phase 2,,,
32,1. 商品,1-4. 茶器・道具,茶筅（交換用 / 季節デザイン / コラボ）,3-6ヶ月で交換推奨。定期的な購入が見込める,Phase 1,,,
33,1. 商品,1-4. 茶器・道具,茶筅スタンド,茶筅の保管用。インテリア性。缶と統一デザイン,Phase 2,,,
34,1. 商品,1-4. 茶器・道具,ブランドマグカップ,缶の世界観に合うデザイン。アップセル商品,Phase 2,,,
35,1. 商品,1-4. 茶器・道具,ブランドシェイクボトル / シェーカー,アイス抹茶用。ブランドグッズ兼実用品,Phase 2,,,
36,1. 商品,1-4. 茶器・道具,茶杓（単品 / コレクション）,素材・デザイン違いで展開。コレクション性,Phase 2,,,
37,1. 商品,1-4. 茶器・道具,追加銘柄用の空缶,新しい銘柄を始めるための缶のみ販売,Phase 2,,,
38,1. 商品,1-4. 茶器・道具,抹茶トラベルキット,持ち運び用コンパクトセット。旅行・オフィス向け,Phase 2,,,
39,1. 商品,1-4. 茶器・道具,電動茶筅 / ミルクフォーマー（ブランド品）,手軽さ重視層向け。伝統の茶筅と併売,Phase 3,,,
40,1. 商品,1-5. ライフスタイル・グッズ,アパレル（Tシャツ・フーディー・キャップ）,カルチャーブランドとしての発信。利益率高い,Phase 2,,,
41,1. 商品,1-5. ライフスタイル・グッズ,トートバッグ / エコバッグ,低単価で気軽に買える。ブランド露出にもなる,Phase 2,,,
42,1. 商品,1-5. ライフスタイル・グッズ,ステッカー / ピンバッジ,低コストで作れる。ファンアイテム・ノベルティ,Phase 1,,,
43,1. 商品,1-5. ライフスタイル・グッズ,ポスター / アートプリント,缶のデザインを活用。インテリア商品,Phase 3,,,
44,1. 商品,1-5. ライフスタイル・グッズ,キャンドル（抹茶の香り）,ライフスタイル拡張。ギフト適性高い,Phase 3,,,
45,1. 商品,1-5. ライフスタイル・グッズ,ルームフレグランス,抹茶の香り×空間演出。ウェルネス文脈,Phase 3,,,
46,1. 商品,1-6. 抹茶ビューティー,抹茶フェイスマスク,EGCG×美容。Golde等が先行,Phase 3,,,
47,1. 商品,1-6. 抹茶ビューティー,抹茶スクラブ,抹茶パウダーの物理的特性を活用,Phase 3,,,
48,1. 商品,1-6. 抹茶ビューティー,抹茶リップバーム,低単価・ギフト向き。ブランド拡張,Phase 3,,,
49,1. 商品,1-6. 抹茶ビューティー,抹茶バスソルト / 入浴剤,リラクゼーション×抹茶。ギフトセットに同梱可,Phase 3,,,
50,1. 商品,1-7. サービス,ワークショップ（対面 / 点て方教室）,体験収益＋ブランドファン獲得。利益率非常に高い,Phase 1,,,
51,1. 商品,1-7. サービス,オンラインワークショップ（Zoom×キット配送）,地理制約なし。法人需要も見込める,Phase 1,,,
52,1. 商品,1-7. サービス,法人向けワークショップ（研修・チームビルディング）,1回あたり数万円×参加人数。高単価,Phase 2,,,
53,1. 商品,1-7. サービス,ケータリング（イベント・パーティー向け抹茶バー）,ブランド露出＋体験提供＋収益の三重取り,Phase 2,,,
54,1. 商品,1-7. サービス,出張抹茶バー（結婚式・企業イベント等）,高単価。SNS映えする空間演出,Phase 2,,,
55,1. 商品,1-7. サービス,抹茶コンサルティング（メニュー開発支援）,カフェ・レストラン向け。B2B関係構築にも,Phase 3,,,
56,1. 商品,1-7. サービス,茶農家ツアー（茶畑見学×体験）,産地との関係強化。コンテンツにもなる。高単価,Phase 2,,,
57,1. 商品,1-7. サービス,サブスクリプションギフト,他人にサブスクを贈る機能。ギフト需要の取り込み,Phase 1,,,
58,1. 商品,1-7. サービス,パーソナライズ診断サービス,AI×味覚プロファイリング。PostCoffeeモデル,Phase 2,,,
59,1. 商品,1-7. サービス,抹茶検定 / 認定プログラム,「抹茶マイスター」等。コミュニティ育成＋権威性,Phase 3,,,
60,1. 商品,1-8. デジタル・コンテンツ,抹茶メディア（ブログ / オウンドメディア）,SEO集客の基盤。「抹茶 健康効果」等で上位表示を狙う,Phase 1,,,
61,1. 商品,1-8. デジタル・コンテンツ,YouTubeチャンネル,レシピ・産地ストーリー・文化解説。ASMR茶筅動画等,Phase 1,,,
62,1. 商品,1-8. デジタル・コンテンツ,レシピ本 / 電子書籍,ブランドの権威性向上。直接収益は小さいが認知拡大,Phase 3,,,
63,1. 商品,1-8. デジタル・コンテンツ,有料ニュースレター / メンバーシップ,深い抹茶知識・業界情報。ニッチだが高ロイヤルティ,Phase 3,,,
64,1. 商品,1-8. デジタル・コンテンツ,アプリ（飲用記録・レシピ・診断・コミュニティ）,エンゲージメント強化。開発コストとのバランス,Phase 3,,,
65,1. 商品,1-9. ライセンス・IP,ブランドライセンス,カフェチェーン等に名前と品質基準を提供。ロイヤルティ収入,Phase 3,,,
66,1. 商品,1-9. ライセンス・IP,缶デザインのライセンス,独自デザインを他カテゴリに展開,Phase 3,,,
67,1. 商品,1-9. ライセンス・IP,診断クイズの技術ライセンス,他D2Cブランドへのレコメンドエンジン提供,Phase 3,,,
68,1. 商品,1-9. ライセンス・IP,ホワイトラベル / OEM供給,他社ブランド向けに抹茶を供給。利益率は低いがボリューム,Phase 3,,,
69,1. 商品,1-10. コラボレーション商品,アーティストコラボ限定缶,Supreme型ドロップモデル。プレミアム価格¥6980-9980,Phase 2,,,
70,1. 商品,1-10. コラボレーション商品,陶芸家コラボ茶碗,作家ものの限定茶碗。「名物狩り」のコンセプト,Phase 2,,,
71,1. 商品,1-10. コラボレーション商品,アパレルブランドコラボ,パッケージ / グッズの共同制作。相互の顧客にリーチ,Phase 2,,,
72,1. 商品,1-10. コラボレーション商品,カフェコラボメニュー,期間限定ドリンク。ブランド認知拡大,Phase 2,,,
73,1. 商品,1-10. コラボレーション商品,酒造コラボ（抹茶リキュール / 抹茶ビール）,夜のシーン開拓。話題性が高い,Phase 3,,,
74,1. 商品,1-10. コラボレーション商品,パティシエコラボ（限定スイーツ）,有名パティシエとの共作。ギフト需要,Phase 2,,,
75,1. 商品,1-10. コラボレーション商品,産地コラボ（特定農家の名前入り限定缶）,産地ストーリーの可視化。ブランド信頼性向上,Phase 2,,,
76,1. 商品,1-10. コラボレーション商品,他D2Cブランドとのクロスコラボ,互いの顧客にリーチ。グラノーラ・チョコ等のブランドと,Phase 2,,,
77,2. 顧客,2-1. 個人（B2C）,健康・ウェルネス志向層,現在のコアターゲット。リサーチで最大ボリュームゾーン（15/30社が狙う）,Phase 1,,,
78,2. 顧客,2-1. 個人（B2C）,コーヒー代替・脱コーヒー層,12/30社がターゲット。「なぜ抹茶なのか4つの柱」で訴求,Phase 1,,,
79,2. 顧客,2-1. 個人（B2C）,Z世代 / ミレニアル（ライフスタイル層）,「おしゃれ」軸で訴求。SNS映え×カルチャーブランド,Phase 1,,,
80,2. 顧客,2-1. 個人（B2C）,ギフト購入者,自分では飲まないが贈る人。缶の完結性がギフト最適,Phase 1,,,
81,2. 顧客,2-1. 個人（B2C）,茶道入門者 / 茶道経験者,「日常の一杯→文化への入口」の導線。高い継続率が見込める,Phase 2,,,
82,2. 顧客,2-1. 個人（B2C）,妊婦・授乳中の女性,低カフェイン需要。カフェインレスラインと連動,Phase 3,,,
83,2. 顧客,2-1. 個人（B2C）,アスリート / フィットネス層,プレワークアウト需要。L-テアニン＋カフェインの持続エネルギー,Phase 2,,,
84,2. 顧客,2-1. 個人（B2C）,シニア層,健康・認知症予防訴求。1日5杯で認知症リスク27%低下のエビデンス,Phase 3,,,
85,2. 顧客,2-1. 個人（B2C）,学生（集中力・勉強のお供）,L-テアニン×カフェインの認知機能改善。試験期間に訴求,Phase 2,,,
86,2. 顧客,2-1. 個人（B2C）,在日外国人 / 訪日観光客,お土産需要。「本物の日本の抹茶」として。空港・駅ナカ,Phase 2,,,
87,2. 顧客,2-1. 個人（B2C）,美容・スキンケア関心層,EGCG×抗酸化力。ビューティー商品と連動,Phase 3,,,
88,2. 顧客,2-1. 個人（B2C）,ヴィーガン / プラントベース層,抹茶は完全植物性。オートミルク×抹茶ラテの文脈,Phase 2,,,
89,2. 顧客,2-1. 個人（B2C）,瞑想 / マインドフルネス実践者,「モーニングリチュアル」としての抹茶。禅×抹茶のストーリー,Phase 2,,,
90,2. 顧客,2-2. 法人（B2B）,オフィス / コワーキングスペース,福利厚生として導入。コーヒーマシンの代替/補完,Phase 2,,,
91,2. 顧客,2-2. 法人（B2B）,ホテル / 旅館,客室アメニティ / ウェルカムドリンク。ブランド露出,Phase 2,,,
92,2. 顧客,2-2. 法人（B2B）,レストラン / カフェ（原材料卸）,抹茶パウダーを業務用で卸。ボリュームは出るが利益率低い,Phase 2,,,
93,2. 顧客,2-2. 法人（B2B）,菓子メーカー / ベーカリー,製菓用抹茶の卸。ラテグレードの活用先,Phase 3,,,
94,2. 顧客,2-2. 法人（B2B）,スパ / ウェルネス施設,施術後の一杯 / メニューへの組み込み,Phase 3,,,
95,2. 顧客,2-2. 法人（B2B）,航空会社（機内サービス / ラウンジ）,プレミアム感。ブランド認知拡大効果が大きい,Phase 3,,,
96,2. 顧客,2-2. 法人（B2B）,企業ギフト / ノベルティ,名入れ缶等。年末年始・株主総会・周年記念,Phase 2,,,
97,2. 顧客,2-2. 法人（B2B）,ウェディングプランナー,引き出物 / ウェルカムギフト。缶の完結性が最適,Phase 2,,,
98,2. 顧客,2-2. 法人（B2B）,フィットネスジム / ヨガスタジオ,会員向けサンプル配布 / 販売スペース設置,Phase 2,,,
99,2. 顧客,2-2. 法人（B2B）,学校 / 大学（学食 / 売店）,若年層へのリーチ。ブランド認知の種まき,Phase 3,,,
100,2. 顧客,2-2. 法人（B2B）,病院 / クリニック（待合室 / 健康推進）,健康エビデンスとの親和性。医師の推薦があれば強い,Phase 3,,,
101,2. 顧客,2-3. プラットフォーム（B2B2C）,サブスクボックス他社への卸,他社キュレーションボックスの中身として採用される。新規露出,Phase 2,,,
102,2. 顧客,2-3. プラットフォーム（B2B2C）,ふるさと納税返礼品,産地の自治体と組む。実質割引価格で顧客獲得,Phase 1,,,
103,2. 顧客,2-3. プラットフォーム（B2B2C）,株主優待品としての提供,上場企業の株主優待カタログに掲載,Phase 3,,,
104,2. 顧客,2-3. プラットフォーム（B2B2C）,ポイント交換商品,クレジットカード・航空マイル等の交換先。認知拡大,Phase 3,,,
105,3. チャネル,3-1. オンライン,自社EC（Shopify）,現在の主力計画。ブランド体験をフルコントロール,Phase 1,,,
106,3. チャネル,3-1. オンライン,Amazon Japan,新規獲得ファネル。検索経由の新規流入,Phase 1,,,
107,3. チャネル,3-1. オンライン,楽天市場,日本EC市場2位。楽天ポイント経済圏のユーザーにリーチ,Phase 2,,,
108,3. チャネル,3-1. オンライン,Yahoo! ショッピング,PayPay経済圏。追加コスト低い,Phase 2,,,
109,3. チャネル,3-1. オンライン,Instagram Shop,SNSから直接購入。インプレッション→購入の導線短縮,Phase 1,,,
110,3. チャネル,3-1. オンライン,TikTok Shop,バイラルコンテンツ→即購入。若年層に強い,Phase 2,,,
111,3. チャネル,3-1. オンライン,LINE ギフト,ギフト需要の取り込み。LINEの利用率が高い日本市場,Phase 2,,,
112,3. チャネル,3-1. オンライン,メルカリShops,メルカリユーザーへの露出。手軽に出品可能,Phase 2,,,
113,3. チャネル,3-1. オンライン,Creema / minne,ハンドメイド系。茶器やギフトセット向き。世界観の合う層,Phase 2,,,
114,3. チャネル,3-1. オンライン,Amazon US,米国市場の入口。FBA USで在庫・配送を委託,Phase 2,,,
115,3. チャネル,3-1. オンライン,Amazon EU（UK / DE / FR）,欧州市場。PerfectTed等と競合,Phase 3,,,
116,3. チャネル,3-1. オンライン,越境EC（Shopify Markets / 多言語対応）,自社ECの多言語・多通貨対応。グローバルブランドの基盤,Phase 2,,,
117,3. チャネル,3-1. オンライン,Etsy,海外向けクラフト系。茶器・ギフトセットに適合,Phase 2,,,
118,3. チャネル,3-2. オフライン,ポップアップストア,百貨店・商業施設内。ブランド体験＋試飲＋販売,Phase 1,,,
119,3. チャネル,3-2. オフライン,マルシェ / ファーマーズマーケット,低コストで出店可能。直接フィードバック取得,Phase 1,,,
120,3. チャネル,3-2. オフライン,セレクトショップ卸,ライフスタイル系セレクトショップ。ブランドの文脈に合う,Phase 2,,,
121,3. チャネル,3-2. オフライン,百貨店の常設売場,伊勢丹・三越・高島屋等。ブランド信頼性向上,Phase 2,,,
122,3. チャネル,3-2. オフライン,オーガニック / 自然食品店,ビオセボン・ナチュラルハウス等。健康志向層にリーチ,Phase 2,,,
123,3. チャネル,3-2. オフライン,高級スーパー,成城石井・紀ノ国屋等。プレミアム感の維持,Phase 2,,,
124,3. チャネル,3-2. オフライン,一般スーパー / ドラッグストア,マス向け展開。ブランド毀損リスクあり。RTD商品のみ検討,Phase 3,,,
125,3. チャネル,3-2. オフライン,コンビニ,RTD商品の場合のみ。資本集約的,Phase 3,,,
126,3. チャネル,3-2. オフライン,自社店舗（カフェ / ショップ）,ブランド体験の最高峰。固定費大。Blank Street型小型店舗なら低リスク,Phase 3,,,
127,3. チャネル,3-2. オフライン,フードトラック / モバイルカフェ,店舗より低リスク。イベント出店も可能,Phase 2,,,
128,3. チャネル,3-2. オフライン,自動販売機,抹茶RTD or 缶セットの自販機。話題性は高い,Phase 3,,,
129,3. チャネル,3-2. オフライン,空港 / 駅ナカ,お土産需要。訪日観光客＋出張者。立地コスト高い,Phase 3,,,
130,3. チャネル,3-2. オフライン,書店 / ライフスタイル系店舗,蔦屋書店等。文化的文脈でのブランド露出,Phase 2,,,
131,3. チャネル,3-3. 地域展開,日本全国,現在の計画。自社EC＋Amazon Japanでカバー,Phase 1,,,
132,3. チャネル,3-3. 地域展開,米国（LA / NYC）,「日本発=本物」が最大の武器。最大の抹茶成長市場,Phase 2,,,
133,3. チャネル,3-3. 地域展開,欧州（UK / ドイツ / フランス）,PerfectTed等が市場を開拓中。健康志向が高い,Phase 3,,,
134,3. チャネル,3-3. 地域展開,韓国,抹茶ブームの最中。Osulloc等が先行,Phase 3,,,
135,3. チャネル,3-3. 地域展開,台湾 / 香港,日本ブランドへの信頼が高い。距離が近く物流コスト低い,Phase 2,,,
136,3. チャネル,3-3. 地域展開,東南アジア（シンガポール / タイ / インドネシア）,富裕層×日本文化人気。Niko Nekoが先行,Phase 3,,,
137,3. チャネル,3-3. 地域展開,オーストラリア,健康志向が高い。Matcha Maidenが先行,Phase 3,,,
138,3. チャネル,3-3. 地域展開,中東（UAE / サウジ）,富裕層×ウェルネス。競合少ない,Phase 3,,,
139,3. チャネル,3-3. 地域展開,中国,巨大市場だが競争激しい。現地パートナー必須,Phase 3,,,
140,3. チャネル,3-3. 地域展開,カナダ,米国展開の延長線。物流はUS倉庫から,Phase 3,,,
141,4. 価格,4-1. 価格設定,値上げ,ブランド価値が認知された段階で。プレミアム感の強化,Phase 2,,,
142,4. 価格,4-1. 価格設定,値下げ（ボリューム獲得優先）,シェア獲得フェーズで。原価低減と連動させる,Phase 2,,,
143,4. 価格,4-1. 価格設定,プレミアムライン追加（¥10000+）,品評会入賞茶・シングルオリジン。ウルトラプレミアム,Phase 2,,,
144,4. 価格,4-1. 価格設定,エントリーライン追加（¥1980以下）,お試し価格帯。新規獲得ファネルの入口,Phase 2,,,
145,4. 価格,4-1. 価格設定,限定品のプレミアム価格（¥20000+）,品評会入賞茶・コラボ缶。希少性×ストーリー,Phase 2,,,
146,4. 価格,4-2. 価格構造,サブスク割引（通常価格の10-15% OFF）,サブスク移行インセンティブ,Phase 1,,,
147,4. 価格,4-2. 価格構造,年間プラン割引（12ヶ月一括で2ヶ月無料等）,キャッシュフロー改善＋チャーン防止,Phase 2,,,
148,4. 価格,4-2. 価格構造,バンドル割引,缶2つセット・缶+茶碗セット等。客単価UP,Phase 1,,,
149,4. 価格,4-2. 価格構造,紹介割引（紹介者・被紹介者双方に）,口コミ促進。CAC低減,Phase 1,,,
150,4. 価格,4-2. 価格構造,初回限定価格（初月50% OFF等）,初回CVR向上。LTV回収モデルと整合,Phase 1,,,
151,4. 価格,4-2. 価格構造,学割 / シニア割,特定セグメントの獲得。ブランドイメージにも寄与,Phase 2,,,
152,4. 価格,4-2. 価格構造,法人ボリュームディスカウント,B2B顧客の獲得・維持,Phase 2,,,
153,4. 価格,4-3. 収益モデル,サブスクリプション,現在の主力計画。LTV最大化,Phase 1,,,
154,4. 価格,4-3. 収益モデル,単品販売（都度購入）,サブスクに抵抗がある層の受け皿,Phase 1,,,
155,4. 価格,4-3. 収益モデル,Razor & Blade（缶無料+リフィル課金）,現在の計画。初回で缶を配りリフィルで回収,Phase 1,,,
156,4. 価格,4-3. 収益モデル,フリーミアム（無料サンプル→有料転換）,試飲パック無料配布→購入転換,Phase 1,,,
157,4. 価格,4-3. 収益モデル,メンバーシップ（月額会費制）,会費で割引＋限定品アクセス。Costco型,Phase 3,,,
158,4. 価格,4-3. 収益モデル,ドロップモデル（限定品を不定期リリース）,Supreme型。話題性＋プレミアム価格,Phase 2,,,
159,4. 価格,4-3. 収益モデル,オークション / 入札,超希少茶葉を競売。話題性。ブランド格の向上,Phase 3,,,
160,4. 価格,4-3. 収益モデル,ペイ・イット・フォワード,1つ買うと1つ誰かに届く。社会性＋話題性,Phase 3,,,
161,5. 集客,5-1. デジタル広告,Instagram広告,ビジュアル訴求。最優先チャネル。ターゲット層と最も親和性高い,Phase 1,,,
162,5. 集客,5-1. デジタル広告,TikTok広告,バイラル可能性。若年層リーチ,Phase 1,,,
163,5. 集客,5-1. デジタル広告,Google検索広告,「抹茶 サブスク」「抹茶 おすすめ」等の検索意図を刈り取る,Phase 1,,,
164,5. 集客,5-1. デジタル広告,Googleショッピング広告,商品画像付き。ECへの直接流入,Phase 1,,,
165,5. 集客,5-1. デジタル広告,YouTube広告,プレロール / インフィード。ブランドストーリー動画,Phase 2,,,
166,5. 集客,5-1. デジタル広告,Pinterest広告,ビジュアル×長寿命コンテンツ。ライフスタイル層,Phase 2,,,
167,5. 集客,5-1. デジタル広告,Facebook広告,30-50代へのリーチ。Instagram広告と連動,Phase 1,,,
168,5. 集客,5-1. デジタル広告,LINE広告,日本市場での到達率が最も高い。リターゲティング向き,Phase 2,,,
169,5. 集客,5-1. デジタル広告,X（旧Twitter）広告,話題性重視の施策と連動。バズ狙い,Phase 2,,,
170,5. 集客,5-1. デジタル広告,Podcast広告 / スポンサー,ウェルネス・ライフスタイル系Podcastと提携,Phase 2,,,
171,5. 集客,5-2. オーガニック集客,Instagram運用（投稿 / リール / ストーリーズ）,ブランドの世界観構築。日常的なコンテンツ発信,Phase 1,,,
172,5. 集客,5-2. オーガニック集客,TikTok運用（レシピ動画・知ってた？系）,バイラル可能性が最も高い。コスト低い,Phase 1,,,
173,5. 集客,5-2. オーガニック集客,YouTube運用,産地ストーリー / ASMR茶筅 / レシピ。長期的な資産になる,Phase 1,,,
174,5. 集客,5-2. オーガニック集客,SEO / ブログ,「抹茶 健康効果」「抹茶 飲み方」等。検索流入の基盤,Phase 1,,,
175,5. 集客,5-2. オーガニック集客,Pinterest運用,レシピピン / ライフスタイル写真。長期的にトラフィック生む,Phase 2,,,
176,5. 集客,5-2. オーガニック集客,LINE公式アカウント,日本市場でのCRM。クーポン配布・セグメント配信,Phase 1,,,
177,5. 集客,5-2. オーガニック集客,メールマーケティング（Klaviyo）,ナーチャリング・カート放棄回収・リピート促進,Phase 1,,,
178,5. 集客,5-2. オーガニック集客,X（旧Twitter）運用,情報発信・話題作り。バズ連動,Phase 2,,,
179,5. 集客,5-3. インフルエンサー / PR,マイクロインフルエンサー起用（1K-50Kフォロワー）,コスパが最も良い。エンゲージメント率が高い,Phase 1,,,
180,5. 集客,5-3. インフルエンサー / PR,ミドルインフルエンサー（50K-500K）,リーチとエンゲージメントのバランス,Phase 2,,,
181,5. 集客,5-3. インフルエンサー / PR,メガインフルエンサー / セレブ,一気にブランド認知を拡大。高コスト,Phase 3,,,
182,5. 集客,5-3. インフルエンサー / PR,ギフティング（無料商品送付→投稿期待）,低コスト。打率は低いが母数で勝負,Phase 1,,,
183,5. 集客,5-3. インフルエンサー / PR,アンバサダープログラム,継続的な関係構築。ブランドの顔になる人を育てる,Phase 2,,,
184,5. 集客,5-3. インフルエンサー / PR,アフィリエイトプログラム（成果報酬型）,リスクゼロの集客。成果が出た分だけ支払い,Phase 1,,,
185,5. 集客,5-3. インフルエンサー / PR,PR / メディアリレーション,雑誌・ウェブメディア掲載。第三者の推薦としての信頼性,Phase 1,,,
186,5. 集客,5-3. インフルエンサー / PR,テレビ出演 / 取材対応,リーチ最大。タイミングと話題性次第,Phase 2,,,
187,5. 集客,5-3. インフルエンサー / PR,ポッドキャスト出演,ウェルネス・起業系Podcastでストーリーを語る,Phase 1,,,
188,5. 集客,5-3. インフルエンサー / PR,受賞狙い（グッドデザイン賞・食品アワード等）,第三者からのお墨付き。PR効果大,Phase 2,,,
189,5. 集客,5-4. リアル施策,ポップアップイベント,ブランド体験＋試飲＋販売。直接フィードバック取得,Phase 1,,,
190,5. 集客,5-4. リアル施策,試飲会 / サンプリング,最もシンプルな体験提供。転換率を直接計測可能,Phase 1,,,
191,5. 集客,5-4. リアル施策,現代版闘茶イベント（ブラインドテイスティング）,話題性が高い。「800年前に戻ってるだけ」の文脈,Phase 2,,,
192,5. 集客,5-4. リアル施策,マルシェ出店,低コスト。ターゲット層（ライフスタイル志向）と親和性高い,Phase 1,,,
193,5. 集客,5-4. リアル施策,フードフェス / 展示会出展,大量のリーチ。FOODEX等の業界展示会はB2B開拓にも,Phase 2,,,
194,5. 集客,5-4. リアル施策,茶農家見学ツアー,ブランドストーリーの体験化。高単価。コンテンツにもなる,Phase 2,,,
195,5. 集客,5-4. リアル施策,コラボカフェ（期間限定）,既存カフェとの期間限定コラボ。固定費なしでカフェ体験,Phase 2,,,
196,5. 集客,5-5. 口コミ・紹介,リファラルプログラム（紹介でポイント / 割引）,最もCAC効率の良い集客。仕組み化が重要,Phase 1,,,
197,5. 集客,5-5. 口コミ・紹介,UGC促進（ハッシュタグキャンペーン・投稿プレゼント）,「#matchaandme」等。ユーザー生成コンテンツで信頼性,Phase 1,,,
198,5. 集客,5-5. 口コミ・紹介,レビューインセンティブ（レビュー投稿で次回割引）,ECの転換率を直接改善。Judge.me等で運用,Phase 1,,,
199,5. 集客,5-5. 口コミ・紹介,お友達紹介キット（サンプル同梱）,リフィル配送時に「友人に渡せるサンプル」を1つ同梱,Phase 1,,,
200,5. 集客,5-5. 口コミ・紹介,ギフト機能の充実,贈りやすいUI。受け取った人が次の顧客になる導線,Phase 1,,,
201,5. 集客,5-6. 提携・チャネルパートナー,他D2Cブランドとの相互紹介,抹茶×グラノーラ・チョコ等。互いの同梱物に入れる,Phase 2,,,
202,5. 集客,5-6. 提携・チャネルパートナー,ヨガスタジオ / ジムとの提携,会員向けサンプル配布。ウェルネス文脈,Phase 2,,,
203,5. 集客,5-6. 提携・チャネルパートナー,コワーキングスペースとの提携,設置＋試飲。オフィス向けサブスクへの導線,Phase 2,,,
